qname	SC5314	target2
orf19.3055	C1_03530W_A	MED17
orf19.4091	C2_09300W_A	MED18
orf19.3421.1	C6_01640W_A	MED19
orf19.2711.1	C4_02840C_A	MED20
orf19.7548	CR_09760W_A	MED21
orf19.3317	C1_01280C_A	MED22
orf19.4415	C4_06050W_A	MED3
orf19.1878	C2_07500C_A	MED4
orf19.1808	CR_04950W_A	MED5
orf19.232	C3_02440C_A	MED7
orf19.4497	C2_04530W_A	MED8
orf19.7165	C7_04100C_A	MED9
orf19.6208	C1_07000W_A	MEF2
orf19.1614	C3_02310W_A	MEP1
orf19.5672	C4_00430W_A	MEP2
orf19.3955	C5_04700C_A	MES1
orf19.5811	C2_02940W_A	MET1
orf19.4076	C2_09140C_A	MET10
orf19.288	C3_02950C_A	MET13
orf19.946	C5_00430W_A	MET14
orf19.5645	C4_00200C_A	MET15
orf19.3106	C4_07030W_A	MET16
orf19.1706	C3_01450C_A	MET18
orf19.2618	CR_02170W_A	MET2
orf19.7046	C7_00730W_A	MET28
orf19.5025	C1_13870W_A	MET3
orf19.5312	C4_04000W_A	MET4
orf19.2551	CR_01620C_A	MET6
orf19.6780	C3_07210W_A	MET8
orf19.6938	C3_03790W_A	MEU1
orf19.488	CR_04050C_A	MEX67
orf19.2164.1	C2_08210C_A	MFA1
orf19.4481	C1_04050C_A	MFALPHA
orf19.3603	C2_08730W_A	MFG1
orf19.2524	CR_01390W_A	MGE1
orf19.2690	C4_03020W_A	MGM1
orf19.2956	C1_02660C_A	MGM101
orf19.6621	CR_05920C_A	MHP1
orf19.2977	C1_02880C_A	MIA40
orf19.3212	C5_03990W_A	MID1
orf19.5551	C6_02780C_A	MIF2
orf19.4318	C5_02940C_A	MIG1
orf19.3071	C3_00800W_A	MIH1
orf19.542.2	CR_04520W_A	MIM1
orf19.4885	C1_10160W_A	MIR1
orf19.2364	CR_07010W_A	MIS11
orf19.7534	CR_00080W_A	MIS12
orf19.4077	C2_09150W_A	MIT1
orf19.7523	CR_00120C_A	MKC1
orf19.6889	C2_05780C_A	MKK2
orf19.2416.1	CR_03090C_A	MLC1
orf19.4162	C4_00790C_A	MLH1
orf19.7257	C1_14400C_A	MLH3
orf19.4683	C4_01060W_A	MLP1
orf19.4833	C1_09690W_A	MLS1
orf19.5100	C1_08210C_A	MLT1
orf19.6220.3	C1_06900C_A	MMD1
orf19.4187	C4_00560C_A	MMM1
orf19.7413	C3_06200C_A	MMS21
orf19.7494	CR_00390W_A	MMS22
orf19.6121	CR_07450C_A	MNL1
orf19.4279	C5_02630C_A	MNN1
orf19.5658	C4_00310C_A	MNN10
orf19.2927	C1_02400C_A	MNN11
orf19.4900	C1_10300W_A	MNN12
orf19.4270	C5_02570W_A	MNN13
orf19.6996	C3_05610W_A	MNN14
orf19.753	C1_04900W_A	MNN15
orf19.2347	C1_10720C_A	MNN2
orf19.1011	CR_05300C_A	MNN21
orf19.3803	C4_04770C_A	MNN22
orf19.4874	C1_10070C_A	MNN23
orf19.1995	C2_01300C_A	MNN24
orf19.6692	C7_03600W_A	MNN26
orf19.2881	C4_06540W_A	MNN4
orf19.849	C2_03710W_A	MNN41
orf19.851	C2_03690C_A	MNN42
orf19.2957	C1_02670C_A	MNN43
orf19.2958	C1_02680C_A	MNN44
orf19.5557	C6_02830W_A	MNN45
orf19.3110	C4_06990W_A	MNN46
orf19.4771	C1_09130W_A	MNN47
orf19.7383	C3_06020W_A	MNN9
orf19.5667	C4_00400W_A	MNR2
orf19.1036	C1_03730C_A	MNS1
orf19.1665	C3_01810C_A	MNT1
orf19.1663	C3_01830C_A	MNT2
orf19.1010	CR_05290W_A	MNT3
orf19.6313	CR_04800W_A	MNT4
orf19.5528	C6_02590C_A	MOB1
orf19.6044	C1_00620W_A	MOB2
orf19.5029	C1_13910C_A	MODF
orf19.3369	C4_03430W_A	MOH1
orf19.4939	C1_13120C_A	MON2
orf19.1779	C2_10030C_A	MP65
orf19.2919	C4_06190C_A	MPH1
orf19.1915	C2_00070C_A	MPP10
orf19.7293	CR_08960C_A	MPS1
orf19.4991	C1_13570W_A	MPT5
orf19.6915	C7_01340W_A	MRE11
orf19.1149	C1_11700C_A	MRF1
orf19.947	C5_00420C_A	MRP17
orf19.4023	C5_05290C_A	MRP2
orf19.3350	C1_01600W_A	MRP20
orf19.7203	C7_03790W_A	MRP7
orf19.3844	C4_04430W_A	MRP8
orf19.3532	C2_05000C_A	MRPL10
orf19.6231	C1_06790C_A	MRPL19
orf19.3064	C1_03650C_A	MRPL27
orf19.5064	C1_07910C_A	MRPL3
orf19.2511.1	C3_01080W_A	MRPL33
orf19.755	C1_04880C_A	MRPL37
orf19.484	CR_04010C_A	MRPL40
orf19.7486	CR_00480W_A	MRPL6
orf19.6129	CR_07390C_A	MRPL8
orf19.5230	C1_12340C_A	MRPS9
orf19.7372	C3_05920W_A	MRR1
orf19.6182	C3_07860C_A	MRR2
orf19.2597	CR_01960C_A	MRS2
orf19.2178	C2_08070C_A	MRS4
orf19.3321	C1_01320W_A	MRS7
orf19.5550	C6_02770W_A	MRT4
orf19.4691	C4_00980C_A	MRV1
orf19.3902	C5_04190W_A	MRV2
orf19.3903	C5_04200W_A	MRV3
orf19.3904	C5_04210C_A	MRV4
orf19.3905	C5_04220W_A	MRV5
orf19.3906	C5_04230W_A	MRV6
orf19.3908	C5_04250W_A	MRV8
orf19.1133	C1_03710C_A	MSB1
orf19.1490	C2_01780W_A	MSB2
orf19.1865	C2_07600C_A	MSC7
orf19.2039	C2_00850W_A	MSF1
orf19.3093	C4_07120C_A	MSH2
orf19.3608	C2_08680W_A	MSH3
orf19.4945	C1_13170C_A	MSH6
orf19.2435	C1_06100C_A	MSI3
orf19.6533	C7_01870W_A	MSK1
orf19.3950	C5_04650C_A	MSM1
orf19.4752	C1_08940C_A	MSN4
orf19.2665	C4_03280W_A	MSN5
orf19.5248	C1_12160W_A	MSO1
orf19.6309	CR_04840C_A	MSS11
orf19.4739	C1_08810C_A	MSS116
orf19.3153	C3_01160W_A	MSS4
orf19.7577	CR_10010C_A	MSS51
orf19.2984	C1_02930C_A	MST1
orf19.3624	C2_08550C_A	MSU1
orf19.4299	C5_02770W_A	MSW1
orf19.2384	CR_03380W_A	MTG1
orf19.6653	CR_05620C_A	MTG2
orf19.3201	C5_01740C_A	MTLA1
orf19.3200	C5_01750C_A	MTLA2
orf19.417	C1_05470W_A	MTM1
orf19.5050	C1_07800W_A	MTO1
orf19.1119	C5_03760C_A	MTR10
orf19.5342.1	C2_10640C_A	MTR2
orf19.4831	C1_09680W_A	MTS1
orf19.1367	C2_09840W_A	MTW1
orf19.7412	C3_06210C_A	MUB1
orf19.4183	C4_00600C_A	MUC1
orf19.4044	C5_05450C_A	MUM2
orf19.5280	C1_11870W_A	MUP1
orf19.2107	C2_00260C_A	MUQ1
orf19.6313.2	CR_04790W_A	MVB12
orf19.6105	C1_00070W_A	MVD
orf19.2028	C2_00960C_A	MXR1
orf19.6294	C5_01650C_A	MYO1
orf19.5015	C1_13780W_A	MYO2
orf19.738	C4_05100C_A	MYO5
orf19.6246	C1_06650W_A	NAA20
orf19.6071	C1_00380C_A	NAA25
orf19.5530	C6_02600W_A	NAB3
CaalfMp03	CM_00060W	NAD1
CaalfMp09	CM_00310W	NAD2
CaalfMp10	CM_00320W	NAD3
CaalfMp14	CM_00440W	NAD4
CaalfMp12	CM_00370W	NAD4L
CaalfMp13	CM_00380W	NAD5
CaalfMp02	CM_00050W	NAD6
orf19.2156	C6_04590C_A	NAG1
orf19.2158	C6_04610C_A	NAG3
orf19.2160	C6_04620C_A	NAG4
orf19.2151	C6_04570W_A	NAG6
orf19.5705	C6_03450C_A	NAM2
orf19.939	C5_00500W_A	NAM7
orf19.2688	C4_03030C_A	NAN1
orf19.7501	CR_00320C_A	NAP1
orf19.4757	C1_09010W_A	NAR1
orf19.2116	C2_00160C_A	NAT2
orf19.4664	C4_01250W_A	NAT4
orf19.490	CR_04070W_A	NAT5
orf19.878	C2_03430W_A	NBN1
orf19.6588	C7_01410C_A	NBP2
orf19.747	C4_05170C_A	NBP35
orf19.5825	C2_02810C_A	NCB2
orf19.5960	C3_04910C_A	NCE102
orf19.1721	C3_01300C_A	NCE103
orf19.5320	C2_10450W_A	NCE4
orf19.2672	C4_03180W_A	NCP1
orf19.7242	C1_14300C_A	NCR1
orf19.4399	CR_03550W_A	NCS2
orf19.339	C3_03420C_A	NDE1
orf19.4495	C2_04550C_A	NDH51
orf19.2119	C2_00140W_A	NDT80
orf19.665	C1_11380W_A	NEP1
orf19.3023	C1_03290W_A	NGG1
orf19.7516	CR_00190W_A	NGS1
orf19.5392	C3_00650W_A	NGT1
orf19.526	CR_04360C_A	NHP2
orf19.4623.3	C4_01700C_A	NHP6A
orf19.4201	C6_00570C_A	NHX1
orf19.4406	C4_05960W_A	NIF3
orf19.5181	C7_02800W_A	NIK1
orf19.4635	C4_01490W_A	NIP1
orf19.486	CR_04030W_A	NIP100
orf19.3478	C6_02360W_A	NIP7
orf19.7279	CR_08840C_A	NIT2
orf19.2351	C1_10700C_A	NIT3
orf19.3288	C1_00990C_A	NMA111
orf19.706	CR_06720W_A	NMD3
orf19.4188	C4_00540C_A	NMD5
orf19.4641	C4_01440W_A	NMT1
orf19.5850	CR_05520W_A	NOC2
orf19.1902	C2_07340W_A	NOC4
orf19.7384	C3_06030W_A	NOG1
orf19.5732	C6_03640W_A	NOG2
orf19.3138	C4_06720W_A	NOP1
orf19.596.1	CR_08020C_A	NOP10
orf19.6766	C3_07300W_A	NOP13
orf19.5959	C3_04900W_A	NOP14
orf19.7050	C7_00690W_A	NOP15
orf19.5198	C1_04390C_A	NOP4
orf19.1199	C6_00370C_A	NOP5
orf19.6236	C1_06740C_A	NOP6
orf19.1091	C6_04330W_A	NOP8
orf19.2012	C2_01130W_A	NOT3
orf19.2379	CR_03420C_A	NOT4
orf19.5107	C1_08300W_A	NOT5
orf19.7238	C1_14280C_A	NPL3
orf19.2434	C1_06110C_A	NPL4
orf19.2055	C2_00710W_A	NPL6
orf19.6232	C1_06780W_A	NPR1
orf19.328	C3_03290C_A	NPR2
orf19.7176	C7_04040C_A	NPT1
orf19.7150	C7_04230W_A	NRG1
orf19.6339	C6_00010W_A	NRG2
orf19.6022	C1_00840C_A	NRM1
orf19.5071	C1_08000W_A	NRP1
orf19.2185	C2_07960C_A	NSA1
orf19.7424	C3_06380W_A	NSA2
orf19.273	C3_02820C_A	NSG2
orf19.900	C2_03280W_A	NSP1
orf19.4879.2	C1_10100C_A	NTF2
orf19.5098	C1_08200W_A	NTG1
orf19.7479	CR_00560W_A	NTH1
orf19.6531	C7_01900W_A	NUC2
orf19.1941	C5_01280C_A	NUF2
orf19.6607	CR_09550C_A	NUO1
orf19.287	C3_02940C_A	NUO2
orf19.6570	C7_01560C_A	NUP
orf19.6171	C3_07780C_A	NUP159
orf19.4808	C1_09450C_A	NUP188
orf19.4987	C1_13550C_A	NUP49
orf19.2901	C4_06350C_A	NUP60
orf19.5765	C6_03900W_A	NUP82
orf19.1298	C4_03800C_A	NUP84
orf19.5887	C3_04400C_A	NUP85
orf19.7411	C3_06220C_A	OAC1
orf19.3198	C5_01770C_A	OBPA
orf19.1762	C2_10190C_A	OCA1
orf19.7206	C1_13990W_A	OCA6
orf19.7391	C3_06090C_A	OCH1
orf19.1802	C4_05460C_A	OFD1
orf19.4972	C1_13440C_A	OFI1
orf19.5078	C1_08060W_A	OFR1
orf19.7190	C7_03910W_A	OGG1
orf19.5117	C1_08360C_A	OLE1
orf19.2264	C2_07090C_A	OLE2
orf19.3827	C4_04550C_A	OMA1
orf19.4934	C1_13080W_A	OP4
orf19.1543	C2_02250C_A	OPI1
orf19.7446	C3_06570C_A	OPI3
orf19.2602	CR_02020C_A	OPT1
orf19.3746	CR_02240C_A	OPT2
orf19.3749	CR_02220C_A	OPT3
orf19.176	CR_02490W_A	OPT4
orf19.5121	C2_08360C_A	OPT5
orf19.4655	C4_01320C_A	OPT6
orf19.5673	C4_00440C_A	OPT7
orf19.5770	C6_03930W_A	OPT8
orf19.2584	CR_01860W_A	OPT9
orf19.5110	C1_08310W_A	OPY2
orf19.3000	C1_03070C_A	ORC1
orf19.6942	C3_03750C_A	ORC3
orf19.4221	C5_02150C_A	ORC4
orf19.2219	C2_08240W_A	ORF298
orf19.5751	C6_03770C_A	ORM1
orf19.1317	C4_03590C_A	OSH3
orf19.6882	C2_05700W_A	OSM1
orf19.5005	C1_13670W_A	OSM2
orf19.6988	C3_05530W_A	OST1
orf19.243	C3_02540C_A	OXR1
orf19.3443	C6_01410C_A	OYE2
orf19.3234	CR_01200W_A	OYE22
orf19.3433	C6_01510W_A	OYE23
orf19.3131	C4_06780C_A	OYE32
orf19.5731	C6_03630W_A	PAD1
orf19.7222	C1_14150C_A	PAM16
orf19.240	C3_02500W_A	PAM17
orf19.4190	C4_00520W_A	PAM18
orf19.886	C2_03380W_A	PAN1
orf19.4010	C5_05170W_A	PAN3
orf19.163	CR_02580W_A	PAN6
orf19.3197	C5_01780W_A	PAP1
orf19.5771	C6_03940C_A	PBP2
orf19.6274	C1_06370C_A	PBR1
orf19.7388	C3_06070C_A	PBS2
orf19.6591	CR_09710W_A	PCD1
orf19.7514	CR_00200W_A	PCK1
orf19.2649	C5_03310C_A	PCL1
orf19.403	C1_08570C_A	PCL2
orf19.4012	C5_05190W_A	PCL5
orf19.6225	C1_06850W_A	PCL7
orf19.4186	C4_00570C_A	PCT1
orf19.3097	C4_07110C_A	PDA1
orf19.5294	C4_04150C_A	PDB1
orf19.2877	C4_06570C_A	PDC11
orf19.4608	C4_01850C_A	PDC12
orf19.4863	C1_09970C_A	PDC2
orf19.4235	C5_02290W_A	PDE1
orf19.2972	C1_02840W_A	PDE2
orf19.5130	C7_03250C_A	PDI1
orf19.7281	CR_08860W_A	PDK2
orf19.1027	C1_03820W_A	PDR16
orf19.5839	C2_02680W_A	PDR17
orf19.2094	C2_00370W_A	PDR6
orf19.2216	C2_07660W_A	PDS5
orf19.5021	C1_13830C_A	PDX1
orf19.550	CR_04590C_A	PDX3
orf19.1835	C1_10640C_A	PEA2
orf19.7072	C7_00470C_A	PEL1
orf19.3767	C1_12490W_A	PEP1
orf19.4292	C5_02720W_A	PEP12
orf19.5584	C6_03020W_A	PEP3
orf19.5662	C4_00350W_A	PEP7
orf19.6927	C3_03880C_A	PEP8
orf19.4093	C2_09320C_A	PES1
orf19.4862.2	C1_09960W_A	PET100
orf19.2309	C1_11070W_A	PET127
orf19.930	C5_00590W_A	PET9
orf19.6460	C7_02490W_A	PEX1
orf19.1089	C6_04310W_A	PEX11
orf19.2009	C2_01150W_A	PEX12
orf19.7282	CR_08870W_A	PEX13
orf19.1805	CR_04930W_A	PEX14
orf19.3605	C2_08710W_A	PEX17
orf19.6434	CR_08600C_A	PEX19
orf19.3546	C2_05150W_A	PEX2
orf19.1225	C2_06690C_A	PEX22
orf19.4426	C1_07420C_A	PEX3
orf19.4041	C5_05430W_A	PEX4
orf19.5640	C4_00150C_A	PEX5
orf19.3573	C2_05440W_A	PEX6
orf19.89	C6_00880W_A	PEX7
orf19.2805	C3_04030C_A	PEX8
orf19.3967	C5_04810W_A	PFK1
orf19.6540	C7_01800C_A	PFK2
orf19.4753	C1_08950W_A	PFK26
orf19.5076	C1_08030W_A	PFY1
orf19.7625	CR_10480W_A	PGA1
orf19.5674	C4_00450C_A	PGA10
orf19.7609	CR_10330W_A	PGA11
orf19.7597	CR_10210W_A	PGA12
orf19.6420	CR_08510W_A	PGA13
orf19.968	C5_00270W_A	PGA14
orf19.2878	C4_06560W_A	PGA15
orf19.848	C2_03720W_A	PGA16
orf19.893	C2_03350W_A	PGA17
orf19.301	C3_03050C_A	PGA18
orf19.2033	C2_00910W_A	PGA19
orf19.3738	CR_02290W_A	PGA22
orf19.3740	CR_02280W_A	PGA23
orf19.6336	C6_00070C_A	PGA25
orf19.2475	C1_05760C_A	PGA26
orf19.2044	C2_00800C_A	PGA27
orf19.5144	C7_03110W_A	PGA28
orf19.5303	C4_04070C_A	PGA30
orf19.5302	C4_04080C_A	PGA31
orf19.6784	C3_07160W_A	PGA32
orf19.876	C2_03440W_A	PGA33
orf19.2833	CR_02750C_A	PGA34
orf19.3923	C5_04370C_A	PGA37
orf19.2758	C4_02440C_A	PGA38
orf19.6302	CR_04900C_A	PGA39
orf19.4035	C5_05390C_A	PGA4
orf19.2906	C4_06310C_A	PGA41
orf19.2907	C4_06300C_A	PGA42
orf19.2910	C4_06260W_A	PGA43
orf19.1714	C3_01370C_A	PGA44
orf19.2451	C1_05960W_A	PGA45
orf19.3638	C2_08430C_A	PGA46
orf19.6321	C6_00160W_A	PGA48
orf19.4404	C4_05920C_A	PGA49
orf19.3693	C1_02360C_A	PGA5
orf19.1824	C1_06260W_A	PGA50
orf19.1911	C2_00100C_A	PGA52
orf19.4651	C4_01360W_A	PGA53
orf19.2685	C4_03070W_A	PGA54
orf19.207	C2_08980C_A	PGA55
orf19.1105.2	C5_03900W_A	PGA56
orf19.4689	C4_01000C_A	PGA57
orf19.4334	C5_03050C_A	PGA58
orf19.2767	C4_02370C_A	PGA59
orf19.4765	C1_09080C_A	PGA6
orf19.5588	C6_03060W_A	PGA60
orf19.5762	C6_03860C_A	PGA61
orf19.2765	C4_02390W_A	PGA62
orf19.6217	C1_06930W_A	PGA63
orf19.5635	C4_00120W_A	PGA7
orf19.3888	CR_06340C_A	PGI1
orf19.3651	C6_00750C_A	PGK1
orf19.2841	CR_02820W_A	PGM2
orf19.234	C3_02460C_A	PHA2
orf19.6944	C3_03730C_A	PHB1
orf19.5973	C3_05030W_A	PHB2
orf19.2079	C2_00480C_A	PHHB
orf19.7016	C7_00980W_A	PHM5
orf19.2170	C2_08140C_A	PHM7
orf19.4424	C1_07430W_A	PHO100
orf19.3727	CR_02400W_A	PHO112
orf19.2619	CR_02180W_A	PHO113
orf19.4584	C4_02070W_A	PHO114
orf19.1405	C2_09490W_A	PHO13
orf19.4444	C1_07230W_A	PHO15
orf19.1759	C2_10220C_A	PHO23
orf19.1253	C4_05680W_A	PHO4
orf19.984	C1_10430W_A	PHO8
orf19.7475	CR_00590W_A	PHO81
orf19.655	C1_11480W_A	PHO84
orf19.6846	C1_04520C_A	PHO85
orf19.2199	C2_07820C_A	PHO86
orf19.2454	C1_05940W_A	PHO87
orf19.7327	CR_09320C_A	PHO88
orf19.4599	C4_01940W_A	PHO89
orf19.3663	C1_02050C_A	PHO91
orf19.3829	C4_04530C_A	PHR1
orf19.6081	C1_00220W_A	PHR2
orf19.377	C4_00090W_A	PHR3
orf19.6133	CR_07360W_A	PIF1
orf19.3199	C5_01760C_A	PIKA
orf19.778	C1_04680W_A	PIL1
orf19.522	CR_04340W_A	PIM1
orf19.5956	C3_04880W_A	PIN3
orf19.2534	CR_01500W_A	PIN4
orf19.220	C2_08870C_A	PIR1
orf19.2783	C1_07620C_A	PIR32
orf19.5901	C3_04470W_A	PKC1
orf19.5224	C1_12410C_A	PKH2
orf19.1196	C6_00350W_A	PKH3
orf19.689	C6_01990W_A	PLB1
orf19.690	C6_02000W_A	PLB2
orf19.6594	CR_09690C_A	PLB3
orf19.1442	C2_01380W_A	PLB4.5
orf19.5102	C1_08230C_A	PLB5
orf19.5506	C7_03710C_A	PLC1
orf19.5797	C2_03040W_A	PLC2
orf19.1161	C1_11590W_A	PLD1
orf19.5383	C3_00720W_A	PMA1
orf19.1727	C3_01250W_A	PMC1
orf19.1390	C2_09640W_A	PMI1
orf19.2937	C1_02480W_A	PMM1
orf19.7089	C7_00320C_A	PMR1
orf19.1605	C2_09470C_A	PMS1
orf19.5171	C7_02890C_A	PMT1
orf19.6812	C3_06890W_A	PMT2
orf19.4109	C2_06100W_A	PMT4
orf19.7549	CR_09770C_A	PMT5
orf19.3802	C4_04780W_A	PMT6
orf19.6684	C7_03520W_A	PNC1
orf19.6877	C2_05660W_A	PNG2
orf19.317	C3_03180C_A	PNP1
orf19.1560	C2_02380W_A	POB3
orf19.5873	C3_04300C_A	POL1
orf19.2365	CR_07000C_A	POL2
orf19.5182	C7_02790C_A	POL3
orf19.4616	C4_01770W_A	POL30
orf19.2465	C1_05850W_A	POL32
orf19.5597	C6_03120W_A	POL5
orf19.6078	C1_00290W_A	POL93
orf19.2081	C2_00470W_A	POM152
orf19.5734	C6_03650C_A	POP2
orf19.7657	CR_10690W_A	POP3
orf19.5567	C6_02910W_A	POP4
orf19.1042	C1_04100C_A	POR1
orf19.6800	C3_07010W_A	POS5
orf19.7520	CR_00150C_A	POT1
orf19.2046	C2_00780W_A	POT1-2
orf19.5723	C6_03560W_A	POX1
orf19.1652	C3_01960C_A	POX1-3
orf19.3330.3	C1_01440C_A	POX18
orf19.1459	C2_01520W_A	PPE1
orf19.3774	C4_05050C_A	PPG1
orf19.1683	C3_01600W_A	PPH21
orf19.4378	CR_03800C_A	PPH3
orf19.3986	C5_04970C_A	PPR1
orf19.4405	C4_05940W_A	PPS1
orf19.1673	C3_01710C_A	PPT1
orf19.4812	C1_09480W_A	PPT2
orf19.726	CR_06420W_A	PPZ1
orf19.5793	C2_03060W_A	PR26
orf19.3111	C4_06980W_A	PRA1
orf19.2242	C2_06880C_A	PRB1
orf19.4135	C5_01450W_A	PRC2
orf19.2474	C1_05770C_A	PRC3
orf19.434	C1_05300C_A	PRD1
orf19.4025	C5_05310W_A	PRE1
orf19.6582	C7_01470C_A	PRE10
orf19.2233	C2_06820C_A	PRE2
orf19.6991	C3_05560W_A	PRE3
orf19.7178	C7_04020C_A	PRE5
orf19.544.1	CR_04550W_A	PRE6
orf19.7335	CR_09380W_A	PRE8
orf19.350	C3_03520C_A	PRE9
orf19.2885	C4_06490C_A	PRI2
orf19.2605	CR_02040W_A	PRK1
orf19.669	C1_11340W_A	PRM1
orf19.2508	C3_01040C_A	PRM9
orf19.2467	C1_05840W_A	PRN1
orf19.2463	C1_05860W_A	PRN2
orf19.2462	C1_05870W_A	PRN3
orf19.2461	C1_05880W_A	PRN4
orf19.7638	CR_10580W_A	PRO1
orf19.6779	C3_07220C_A	PRO2
orf19.5650	C4_00240C_A	PRO3
orf19.4379	CR_03810W_A	PRP13
orf19.4033	C5_05370C_A	PRP22
orf19.910	C2_03200W_A	PRP3
orf19.1492	C2_01830W_A	PRP39
orf19.4374	CR_03750C_A	PRP42
orf19.5513	C6_02440C_A	PRP45
orf19.6831	C3_06720W_A	PRP5
orf19.6442	CR_08660W_A	PRP8
orf19.1341	C7_03340C_A	PRR2
orf19.2532	CR_01480W_A	PRS
orf19.1575	C2_02510W_A	PRS1
orf19.2193	C2_07890W_A	PRS5
orf19.6584	C7_01450C_A	PRT1
orf19.5180	C7_02810W_A	PRX1
orf19.2787	C1_07580C_A	PRY1
orf19.4943	C1_13160W_A	PSA2
orf19.6045	C1_00610W_A	PSD1
orf19.3954	C5_04680W_A	PSD2
orf19.6910	C7_01300C_A	PSF1
orf19.57	C1_05030C_A	PSF2
orf19.7065	C7_00530C_A	PSF3
orf19.5362	C2_10780C_A	PSO2
orf19.671	C1_11310C_A	PSP1
orf19.2241	C2_06870C_A	PST1
orf19.3612	C2_08640C_A	PST2
orf19.5285	CR_05390W_A	PST3
orf19.3685	C1_02280C_A	PSY2
orf19.4019	C5_05260W_A	PSY4
orf19.4785	C1_09260C_A	PTC1
orf19.2538	CR_01520W_A	PTC2
orf19.6638	CR_05740C_A	PTC4
orf19.6376	CR_08160W_A	PTC5
orf19.3705	CR_07770C_A	PTC6
orf19.5661	C4_00340W_A	PTC7
orf19.4698	C4_00960W_A	PTC8
orf19.4232	C5_02260C_A	PTH1
orf19.4231	C5_02240W_A	PTH2
orf19.3415	C6_01710C_A	PTK2
orf19.6365	CR_08070W_A	PTP1
orf19.5045	C4_03890W_A	PTP2
orf19.7610	CR_10340W_A	PTP3
orf19.2583	CR_01830C_A	PTR2
orf19.6937	C3_03800W_A	PTR22
orf19.4535	C1_01880C_A	PTR3
orf19.1795	C4_05370W_A	PUF3
orf19.7605	CR_10300W_A	PUP1
orf19.709	CR_06750C_A	PUP2
orf19.1336	C7_03390C_A	PUP3
orf19.1954	C5_01180W_A	PUS4
orf19.1753	C2_10270W_A	PUS7
orf19.4274	C5_02600W_A	PUT1
orf19.3974	C5_04880C_A	PUT2
orf19.6203	C1_07020C_A	PUT3
orf19.2945	C1_02570C_A	PUT4
orf19.4640	C4_01450W_A	PWP1
orf19.3276	CR_00800C_A	PWP2
orf19.7500	CR_00330C_A	PXA1
orf19.5255	C1_12100C_A	PXA2
orf19.1655	C3_01930W_A	PXP2
orf19.789	C4_03940C_A	PYC2
orf19.4125	C2_04860W_A	PZF1
orf19.2644	C5_03350W_A	QCR2
orf19.5629	C6_03400C_A	QCR7
orf19.4490.2	C2_04590C_A	QCR8
orf19.2707.1	C4_02890C_A	QCR9
orf19.508	CR_04210C_A	QDR1
orf19.6992	C3_05570W_A	QDR2
orf19.136	C6_01290C_A	QDR3
orf19.6237	C1_06730W_A	RAC1
orf19.5318	C2_10440C_A	RAD1
orf19.2469	C1_05820C_A	RAD10
orf19.6517	C7_02020W_A	RAD14
orf19.2969	C1_02810W_A	RAD16
orf19.3407	C6_01770W_A	RAD18
orf19.1324	C4_03550W_A	RAD2
orf19.1494	C2_01850W_A	RAD23
orf19.7119	C7_00050C_A	RAD3
orf19.866	C2_03540W_A	RAD32
orf19.1648	C3_02000W_A	RAD50
orf19.3752	CR_02200C_A	RAD51
orf19.4208	C6_00510C_A	RAD52
orf19.6936	C3_03810W_A	RAD53
orf19.5004	C1_13660W_A	RAD54
orf19.2174	C2_08110W_A	RAD57
orf19.2630	C4_05270C_A	RAD59
orf19.7195	C7_03870W_A	RAD6
orf19.1493	C2_01840C_A	RAD7
orf19.4275	C5_02610C_A	RAD9
orf19.5046	C4_03900C_A	RAM1
orf19.4817	C1_09530W_A	RAM2
orf19.1773	C2_10080W_A	RAP1
orf19.1760	C2_10210C_A	RAS1
orf19.5902	C3_04480C_A	RAS2
orf19.4681	C4_01080W_A	RAT1
orf19.5559	C6_02850W_A	RAV2
orf19.5903	C3_04490W_A	RAX1
orf19.3765	C1_12510W_A	RAX2
orf19.5234	C1_12290C_A	RBD1
orf19.7218	C1_14120C_A	RBE1
orf19.5558	C6_02840C_A	RBF1
orf19.6344	C1_12780W_A	RBK1
orf19.6452	C7_02570C_A	RBP1
orf19.535	CR_04440C_A	RBR1
orf19.532	CR_04420C_A	RBR2
orf19.5124	C7_03290C_A	RBR3
orf19.1327	C4_03520C_A	RBT1
orf19.6202	C1_07030C_A	RBT4
orf19.5636	C4_00130W_A	RBT5
orf19.2681	C4_03100W_A	RBT7
orf19.6102	C1_00080C_A	RCA1
orf19.3825	C4_04570W_A	RCE1
orf19.5663	C4_00360C_A	RCH1
orf19.2268	C2_07130C_A	RCK2
orf19.1886	C2_07450C_A	RCL1
orf19.123	C6_01160W_A	RCN1
orf19.7350	C3_05710W_A	RCT1
orf19.3203	C5_01720C_A	RCY1
orf19.5367	C2_10840W_A	RDH54
orf19.5968	C3_05000W_A	RDI1
orf19.2005	C2_01200C_A	REG1
orf19.59	C1_05060W_A	REI1
orf19.7521	CR_00140W_A	REP1
orf19.4028	C5_05330C_A	RER2
orf19.4236	C5_02300C_A	RET2
orf19.7389	C3_06080W_A	REV3
orf19.1466	C2_01580W_A	REX2
orf19.4948	C1_13200C_A	REX3
orf19.2093	C2_00380C_A	RFA1
orf19.2267	C2_07120W_A	RFA2
orf19.6891	C2_05790C_A	RFC1
orf19.7035	C7_00820W_A	RFC2
orf19.3211	C5_04000W_A	RFC3
orf19.7658	CR_10700W_A	RFC4
orf19.2029	C2_00950C_A	RFC5
orf19.6078.1	C1_00280C_A	RFC52
